iso_code,continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,new_vaccinations,is_country,new_cases_7day_avg,new_deaths_7day_avg,new_vaccinations_7day_avg,cases_14day_total,deaths_14day_total,case_growth_rate,death_growth_rate,vaccination_growth_rate,cases_per_million,deaths_per_million,vaccinations_per_hundred,vaccinated_share,fully_vaccinated_share,booster_share,death_rate,estimated_active_cases,estimated_recoveries,recovery_rate_proxy
CHN,Asia,China,2024-08-04,1425887360.0,99373219.0,2087.0,122304.0,15.0,0.0,0.0,0.0,0.0,0.0,True,2087.0,15.0,0.0,2087.0,15.0,0.0,0.0,0.0,69692.19433995124,85.77395622610752,0.0,0.0,0.0,0.0,0.12307541330627521,2087.0,99248828.0,99.87482442326841
COL,South America,Colombia,2024-08-04,51874028.0,6391876.0,976.0,142727.0,0.0,0.0,0.0,0.0,0.0,0.0,True,976.0,0.0,0.0,976.0,0.0,0.0,0.0,0.0,123219.19554810743,2751.4154096535553,0.0,0.0,0.0,0.0,2.2329438180590486,976.0,6248173.0,97.75178679936845
COM,Africa,Comoros,2024-08-04,836783.0,9109.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10885.737401452945,191.20847340349889,0.0,0.0,0.0,0.0,1.7565045559336918,0.0,8949.0,98.24349544406631
COG,Africa,Congo,2024-08-04,5970430.0,25227.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4225.32380414811,65.1544361126418,0.0,0.0,0.0,0.0,1.5419986522376818,0.0,24838.0,98.45800134776232
COK,Oceania,Cook Islands,2024-08-04,17032.0,7345.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,431247.0643494599,117.42602160638798,0.0,0.0,0.0,0.0,0.027229407760381213,1.0,7342.0,99.95915588835943
CRI,North America,Costa Rica,2024-08-04,5180836.0,1234701.0,0.0,9372.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238320.80382393883,1808.9744589483241,0.0,0.0,0.0,0.0,0.7590501668015172,0.0,1225329.0,99.24094983319847
CIV,Africa,Cote d'Ivoire,2024-08-04,28160548.0,88434.0,0.0,835.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3140.350819877511,29.65141161315469,0.0,0.0,0.0,0.0,0.9442069792161386,0.0,87599.0,99.05579302078387
HRV,Europe,Croatia,2024-08-04,4030361.0,1317144.0,0.0,18752.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326805.4648206451,4652.684957997559,0.0,0.0,0.0,0.0,1.423686400272104,0.0,1298392.0,98.5763135997279
CUB,North America,Cuba,2024-08-04,11212198.0,1113662.0,0.0,8530.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99325.9305624107,760.7785734786346,0.0,0.0,0.0,0.0,0.7659415513863272,0.0,1105132.0,99.23405844861367
CUW,North America,Curacao,2024-08-04,191173.0,45883.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240007.7416790028,1595.413578277267,0.0,0.0,0.0,0.0,0.6647342152867075,0.0,45578.0,99.33526578471329
